乐平,2019年12月01日,小雨/多云,11℃/2℃,西北风3-4级/西北风3-4级
乐平,2019年12月02日,多云/多云,14℃/1℃,北风3-4级/北风3-4级
乐平,2019年12月03日,晴/晴,14℃/1℃,东北风1-2级/东北风1-2级
乐平,2019年12月04日,晴/晴,16℃/1℃,东北风1-2级/东北风1-2级
乐平,2019年12月05日,多云/多云,15℃/4℃,东北风3-4级/东北风3-4级
乐平,2019年12月06日,晴/晴,15℃/1℃,东北风3-4级/东北风3-4级
乐平,2019年12月07日,晴/晴,15℃/-1℃,东北风1-2级/东北风1-2级
乐平,2019年12月08日,晴/晴,17℃/0℃,东风1-2级/东风1-2级
乐平,2019年12月09日,晴/晴,18℃/1℃,西南风1-2级/西南风1-2级
乐平,2019年12月10日,晴/晴,18℃/3℃,西北风1-2级/西北风1-2级
乐平,2019年12月11日,晴/晴,20℃/2℃,北风1-2级/北风1-2级
乐平,2019年12月12日,晴/晴,22℃/5℃,东风3-4级/东风3-4级
南昌县,2019年12月01日,小雨/多云,9℃/4℃,北风3-4级/北风3-4级
南昌县,2019年12月02日,晴/晴,15℃/4℃,无持续风向1-2级/无持续风向1-2级
南昌县,2019年12月03日,晴/晴,14℃/4℃,东北风1-2级/东北风1-2级
南昌县,2019年12月04日,晴/晴,16℃/3℃,东北风3-4级/东北风3-4级
南昌县,2019年12月05日,多云/多云,16℃/7℃,北风3-4级/北风3-4级
南昌县,2019年12月06日,晴/晴,14℃/3℃,北风3-4级/北风3-4级
南昌县,2019年12月07日,晴/晴,14℃/3℃,东北风1-2级/东北风1-2级
南昌县,2019年12月08日,晴/晴,15℃/3℃,东风1-2级/东风1-2级
南昌县,2019年12月09日,晴/晴,17℃/4℃,东风1-2级/东风1-2级
南昌县,2019年12月10日,晴/晴,19℃/5℃,东北风1-2级/东北风1-2级
南昌县,2019年12月11日,晴/晴,20℃/6℃,北风3-4级/北风3-4级
南昌县,2019年12月12日,晴/晴,19℃/7℃,东北风3-4级/东北风3-4级
安义,2019年12月01日,小雨/多云,9℃/2℃,北风3-4级/北风3-4级
安义,2019年12月02日,晴/晴,14℃/0℃,北风3-4级/北风3-4级
安义,2019年12月03日,晴/晴,14℃/-1℃,东北风1-2级/东北风1-2级
安义,2019年12月04日,晴/晴,16℃/-1℃,东北风3-4级/东北风3-4级
安义,2019年12月05日,多云/多云,17℃/0℃,东北风3-4级/东北风3-4级
安义,2019年12月06日,晴/晴,14℃/-1℃,东北风3-4级/东北风3-4级
安义,2019年12月07日,晴/晴,14℃/-2℃,东北风1-2级/东北风1-2级
安义,2019年12月08日,晴/晴,15℃/-2℃,东北风1-2级/东北风1-2级
安义,2019年12月09日,晴/晴,17℃/1℃,西南风1-2级/西南风1-2级
安义,2019年12月10日,晴/晴,20℃/1℃,西南风1-2级/西南风1-2级
安义,2019年12月11日,晴/晴,20℃/2℃,东北风3-4级/东北风3-4级
安义,2019年12月12日,晴/晴,19℃/2℃,东北风3-4级/东北风3-4级
进贤,2019年12月01日,小雨/多云,9℃/3℃,北风4-5级/北风4-5级
进贤,2019年12月02日,晴/晴,13℃/3℃,北风3-4级/北风3-4级
进贤,2019年12月03日,晴/晴,12℃/3℃,北风3-4级/北风3-4级
进贤,2019年12月04日,晴/晴,15℃/3℃,北风3-4级/北风3-4级
进贤,2019年12月05日,多云/多云,15℃/5℃,北风3-4级/北风3-4级
进贤,2019年12月06日,晴/晴,13℃/2℃,北风4-5级/北风4-5级
进贤,2019年12月07日,晴/晴,13℃/1℃,北风3-4级/北风3-4级
进贤,2019年12月08日,晴/晴,14℃/3℃,北风1-2级/北风1-2级
进贤,2019年12月09日,晴/晴,17℃/3℃,北风1-2级/北风1-2级
进贤,2019年12月10日,晴/晴,19℃/3℃,东北风1-2级/东北风1-2级
进贤,2019年12月11日,晴/晴,20℃/5℃,北风3-4级/北风3-4级
进贤,2019年12月12日,晴/晴,19℃/6℃,东北风3-4级/东北风3-4级
莲花,2019年12月01日,小雨/多云,9℃/2℃,西北风1-2级/西北风1-2级
莲花,2019年12月02日,晴/晴,15℃/3℃,东北风1-2级/东北风1-2级
莲花,2019年12月03日,晴/晴,16℃/1℃,东风1-2级/东风1-2级
莲花,2019年12月04日,晴/多云,17℃/2℃,东北风3-4级/东北风3-4级
莲花,2019年12月05日,晴/多云,17℃/4℃,东北风1-2级/东北风1-2级
莲花,2019年12月06日,晴/晴,16℃/2℃,东北风1-2级/东北风1-2级
莲花,2019年12月07日,晴/晴,17℃/1℃,东风1-2级/东风1-2级
莲花,2019年12月08日,晴/多云,17℃/2℃,东北风1-2级/东北风1-2级
莲花,2019年12月09日,晴/晴,19℃/1℃,北风1-2级/北风1-2级
莲花,2019年12月10日,晴/晴,21℃/2℃,北风1-2级/北风1-2级
莲花,2019年12月11日,晴/晴,22℃/4℃,东北风1-2级/东北风1-2级
莲花,2019年12月12日,晴/晴,22℃/5℃,东风1-2级/东风1-2级
景德镇,2019年12月01日,小雨/多云,11℃/3℃,西北风1-2级/西北风1-2级
景德镇,2019年12月02日,多云/多云,14℃/2℃,北风1-2级/北风1-2级
景德镇,2019年12月03日,晴/晴,14℃/2℃,北风1-2级/北风1-2级
